Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
97;HAMILTON I. (SG);18;318:26:00;160;41;83;49.4%;23;53;43.4%;64;136;47.1%;9;11;81.8%;28;17;45;27;14;33;1;32;16;140;-96
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
111;POLLARD X. (SG);20;422:26:00;160;48;99;48.5%;12;37;32.4%;60;136;44.1%;28;34;82.4%;41;15;56;40;29;37;0;47;37;166;32
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
128;JONES J. (SF);22;447:25:00;156;15;33;45.5%;33;83;39.8%;48;116;41.4%;27;39;69.2%;44;11;55;15;23;18;3;52;32;154;38
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
125;STUCKEY M. (SG);21;370:14:00;155;17;39;43.6%;33;100;33.0%;50;139;36.0%;22;28;78.6%;31;9;40;24;8;18;2;59;36;116;10
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
45;ERIKSSON M. (SF);13;282:45:00;154;15;31;48.4%;36;81;44.4%;51;112;45.5%;16;17;94.1%;20;6;26;13;6;7;1;15;28;131;115
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
23;MARELJA A. (C);11;212:45:00;152;51;76;67.1%;10;19;52.6%;61;95;64.2%;20;26;76.9%;29;14;43;14;4;18;3;18;20;158;-43
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
65;COLEMAN T. (SF);14;241:38:00;152;32;66;48.5%;12;40;30.0%;44;106;41.5%;52;65;80.0%;42;14;56;28;11;46;6;43;50;132;94
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
132;HOLMAN A. (PF);22;409:27:00;152;28;54;51.9%;25;57;43.9%;53;111;47.8%;21;25;84.0%;59;27;86;21;9;18;20;41;25;208;89
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
133;MURPHY K. (PF);22;408:27:00;152;51;101;50.5%;2;8;25.0%;53;109;48.6%;44;65;67.7%;59;19;78;15;11;41;6;53;53;144;-118
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
139;PJANIC A. (SF);22;460:01:00;150;35;60;58.3%;23;57;40.4%;58;117;49.6%;11;17;64.7%;46;18;64;18;24;16;15;67;24;190;-141
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
72;ROGIC R. (PG);14;318:54:00;149;36;64;56.3%;22;54;40.7%;58;118;49.2%;11;14;78.6%;24;12;36;58;8;34;0;43;36;154;-41
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
115;RICHTER J. (PF);19;372:55:00;148;58;121;47.9%;4;19;21.1%;62;140;44.3%;20;26;76.9%;40;27;67;16;7;30;4;59;27;128;-138
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
141;HERRERA S. (SG);22;444:25:00;146;45;77;58.4%;10;33;30.3%;55;110;50.0%;26;35;74.3%;37;13;50;49;13;20;2;44;35;176;66
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
142;BREUNIG M. (C);22;349:40:00;145;57;102;55.9%;0;0;0.0%;57;102;55.9%;31;36;86.1%;51;37;89;17;10;11;5;62;42;205;52
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
84;FIELER C. (PF);15;331:46:00;144;39;54;72.2%;18;58;31.0%;57;112;50.9%;12;16;75.0%;33;9;42;38;15;20;12;41;23;172;31
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
